bodyId,out_degree,in_degree,total_output_weight,total_input_weight,predictedNt,type
17100,356,554,2103,4646,acetylcholine,SMP052
17143,178,130,2488,1151,glutamate,Delta7
17171,111,59,1823,1032,gaba,ER5
17177,281,196,952,1930,serotonin,ATL032
17286,136,308,1419,2439,acetylcholine,PFL3
17288,227,523,1192,1848,acetylcholine,PVLP200m_b
17290,158,329,1597,2364,acetylcholine,PFL3
17300,399,373,1710,1637,acetylcholine,PLP262
17379,168,119,2082,1101,glutamate,Delta7
17402,221,215,4594,2502,gaba,ER4m
17419,194,154,2683,3101,gaba,ER6
17454,134,139,1390,1591,acetylcholine,PEN_a(PEN1)
17480,496,514,3219,3134,glutamate,FB2D
17552,224,236,1702,1079,glutamate,FB7A
17561,134,106,1298,1219,gaba,ER3m
17591,147,146,2233,2057,gaba,ER4d
17602,217,282,1606,3688,acetylcholine,hDeltaL
17679,193,181,2024,1494,gaba,ER2_d
17720,420,339,1753,1440,glutamate,FB2B_b
17728,203,324,1266,2464,acetylcholine,hDeltaC
17738,532,279,2331,974,glutamate,FB2H_b
17743,416,440,2746,3719,acetylcholine,AVLP161
17749,344,386,1093,1056,glutamate,FB2L
17753,150,110,1947,1149,glutamate,Delta7
17759,342,315,1572,1254,glutamate,FB5N
17763,401,376,1734,1429,glutamate,FB6B
17780,140,245,446,1076,acetylcholine,hDeltaJ
17801,230,354,1973,4343,acetylcholine,hDeltaA
17804,179,122,2042,1158,glutamate,Delta7
17816,247,135,4495,2583,acetylcholine,hDeltaB
17820,245,140,4584,2787,acetylcholine,hDeltaB
17874,219,347,1886,3723,acetylcholine,hDeltaM
17918,426,311,1549,1288,gaba,AVLP734m
17991,204,338,1746,3897,acetylcholine,hDeltaA
18030,93,146,364,593,acetylcholine,vDeltaI_b
18037,298,606,1513,3371,acetylcholine,AVLP110_a
18058,179,179,1594,1372,gaba,ER2_b
18065,411,271,3507,1246,glutamate,FB6C_b
18097,315,438,1171,1731,acetylcholine,
